dong_name,full_name,elevation,population,lat,lon,neighbor_avg,elevation_diff,lowness_score
삼덕동,대구광역시 중구 삼덕동,45.0,6499,35.865313455535016,128.60403047813347,41.0,4.0,0.0
성내1동,대구광역시 중구 성내1동,35.0,4887,35.8685557273216,128.59720142181447,40.0,-5.0,0.1724137931034483
성내2동,대구광역시 중구 성내2동,35.0,4765,35.87087615458923,128.5893371551764,34.0,1.0,0.0
성내3동,대구광역시 중구 성내3동,30.0,4887,35.87490053763122,128.58251568281176,32.0,-2.0,0.06896551724137931
대신동,대구광역시 중구 대신동,40.0,7515,35.867407730243336,128.5790965848669,38.0,2.0,0.0
남산1동,대구광역시 중구 남산1동,45.0,4509,35.860036489671124,128.59263415633106,43.0,2.0,0.0
남산2동,대구광역시 중구 남산2동,40.0,6877,35.86420401844699,128.5881090637374,42.0,-2.0,0.06896551724137931
남산3동,대구광역시 중구 남산3동,45.0,6501,35.859916788483005,128.58595293060569,45.0,0.0,0.0
남산4동,대구광역시 중구 남산4동,45.0,14313,35.86089636808766,128.57916603675628,42.0,3.0,0.0
대봉1동,대구광역시 중구 대봉1동,45.0,7818,35.85929816627349,128.6046910799975,45.0,0.0,0.0
대봉2동,대구광역시 중구 대봉2동,50.0,4718,35.85775779596296,128.59874031230927,46.0,4.0,0.0
동인동,대구광역시 중구 동인동,35.0,7676,35.870269419038,128.60742220548298,40.0,-5.0,0.1724137931034483
신암1동,대구광역시 동구 신암1동,40.0,8930,35.885320021619236,128.6183906818396,37.0,3.0,0.0
신암2동,대구광역시 동구 신암2동,35.0,10190,35.87782777856493,128.61197358951932,38.0,-3.0,0.10344827586206896
신암3동,대구광역시 동구 신암3동,40.0,11435,35.87979300672048,128.62112503885663,39.0,1.0,0.0
신암4동,대구광역시 동구 신암4동,35.0,11147,35.88475871886965,128.62830802268715,38.0,-3.0,0.10344827586206896
신암5동,대구광역시 동구 신암5동,25.0,6189,35.889047769308725,128.63435395255726,31.0,-6.0,0.20689655172413793
신천1·2동,대구광역시 동구 신천1·2동,40.0,12516,35.87206696423043,128.61585107443528,39.0,1.0,0.0
신천3동,대구광역시 동구 신천3동,45.0,14626,35.872612743311585,128.62222603582467,40.0,5.0,0.0
신천4동,대구광역시 동구 신천4동,45.0,8403,35.872910881734164,128.62965340567038,44.0,1.0,0.0
효목1동,대구광역시 동구 효목1동,30.0,13268,35.882153744801116,128.64613785160782,30.0,0.0,0.0
효목2동,대구광역시 동구 효목2동,40.0,12810,35.8772137479505,128.63809529142983,33.0,7.0,0.0
도평동,대구광역시 동구 도평동,35.0,3920,35.928539956142735,128.68821225303282,34.0,1.0,0.0
불로·봉무동,대구광역시 동구 불로·봉무동,25.0,21161,35.92219080203092,128.6422666331131,26.0,-1.0,0.034482758620689655
지저동,대구광역시 동구 지저동,25.0,14161,35.89871877332002,128.64013470759295,29.0,-4.0,0.13793103448275862
동촌동,대구광역시 동구 동촌동,30.0,15381,35.894855251049286,128.65607230261764,28.0,2.0,0.0
방촌동,대구광역시 동구 방촌동,30.0,18548,35.87808134338821,128.66499905352237,34.0,-4.0,0.13793103448275862
해안동,대구광역시 동구 해안동,35.0,14920,35.898580412901154,128.6853041993312,32.0,3.0,0.0
공산동,대구광역시 동구 공산동,50.0,21519,35.97538448555604,128.6771210928175,30.0,20.0,0.0
안심1동,대구광역시 동구 안심1동,35.0,41509,35.86557906797208,128.6958178514336,33.0,2.0,0.0
안심2동,대구광역시 동구 안심2동,30.0,11552,35.903183737386634,128.71399312169152,37.0,-7.0,0.2413793103448276
안심4동,대구광역시 동구 안심4동,35.0,28547,35.86998330371415,128.71726838085428,36.0,-1.0,0.034482758620689655
내당1동,대구광역시 서구 내당1동,25.0,10142,35.86206791319948,128.5616001277435,33.0,-8.0,0.27586206896551724
내당2·3동,대구광역시 서구 내당2·3동,35.0,9323,35.865196659400375,128.5713156406281,37.0,-2.0,0.06896551724137931
내당4동,대구광역시 서구 내당4동,35.0,16054,35.8591455816426,128.55070880837053,31.0,4.0,0.0
비산1동,대구광역시 서구 비산1동,30.0,9416,35.881921526500605,128.56675155522052,32.0,-2.0,0.06896551724137931
비산2·3동,대구광역시 서구 비산2·3동,30.0,8929,35.87665944552165,128.5744399058437,35.0,-5.0,0.1724137931034483
비산4동,대구광역시 서구 비산4동,40.0,9501,35.86992809465573,128.57237575419123,36.0,4.0,0.0
비산5동,대구광역시 서구 비산5동,30.0,6028,35.886390708188756,128.56830059997014,31.0,-1.0,0.034482758620689655
비산6동,대구광역시 서구 비산6동,40.0,7403,35.875886849794355,128.56937948078834,34.0,6.0,0.0
비산7동,대구광역시 서구 비산7동,20.0,10397,35.8873699968703,128.55006828045438,28.0,-8.0,0.27586206896551724
평리1동,대구광역시 서구 평리1동,35.0,7602,35.876220080667956,128.5652406882598,32.0,3.0,0.0
평리2동,대구광역시 서구 평리2동,35.0,7723,35.869255327597564,128.5656340554538,37.0,-2.0,0.06896551724137931
평리3동,대구광역시 서구 평리3동,25.0,9662,35.87615339306969,128.5588435236653,32.0,-7.0,0.2413793103448276
평리4동,대구광역시 서구 평리4동,35.0,17519,35.86763997001846,128.55798189820288,31.0,4.0,0.0
평리5동,대구광역시 서구 평리5동,35.0,1660,35.87226689007551,128.55084161025758,28.0,7.0,0.0
평리6동,대구광역시 서구 평리6동,20.0,3432,35.87926983717992,128.55001168338165,30.0,-10.0,0.3448275862068966
상중이동,대구광역시 서구 상중이동,20.0,19751,35.873015711474764,128.53473881372523,26.0,-6.0,0.20689655172413793
원대동,대구광역시 서구 원대동,30.0,7393,35.88402427451179,128.57664506932605,29.0,1.0,0.0
이천동,대구광역시 남구 이천동,50.0,11682,35.851528586114114,128.6017292000946,48.0,2.0,0.0
봉덕1동,대구광역시 남구 봉덕1동,55.0,8987,35.84634135663662,128.5981449495869,51.0,4.0,0.0
봉덕2동,대구광역시 남구 봉덕2동,55.0,12224,35.82418931748757,128.5981400651253,62.0,-7.0,0.2413793103448276
봉덕3동,대구광역시 남구 봉덕3동,60.0,16168,35.83253280357369,128.59270892942064,59.0,1.0,0.0
대명1동,대구광역시 남구 대명1동,55.0,10994,35.84297877482873,128.5761403535454,51.0,4.0,0.0
대명2동,대구광역시 남구 대명2동,45.0,12115,35.85229574546588,128.58960506745652,51.0,-6.0,0.20689655172413793
대명3동,대구광역시 남구 대명3동,50.0,10621,35.85335563010865,128.57922348860734,49.0,1.0,0.0
대명4동,대구광역시 남구 대명4동,50.0,10627,35.84661603952449,128.57124766693423,47.0,3.0,0.0
대명5동,대구광역시 남구 대명5동,60.0,6423,35.844824876302916,128.58567194120766,53.0,7.0,0.0
대명6동,대구광역시 남구 대명6동,50.0,11297,35.82922321624245,128.57041837145823,54.0,-4.0,0.13793103448275862
대명9동,대구광역시 남구 대명9동,65.0,15165,35.82870414129377,128.58067368418466,56.0,9.0,0.0
대명10동,대구광역시 남구 대명10동,45.0,8850,35.840658553342585,128.56668664744794,47.0,-2.0,0.06896551724137931
대명11동,대구광역시 남구 대명11동,50.0,8321,35.831385888927066,128.56244628971385,44.0,6.0,0.0
고성동,대구광역시 북구 고성동,25.0,4718,35.881288389833045,128.58519785773169,30.0,-5.0,0.1724137931034483
칠성동,대구광역시 북구 칠성동,30.0,23141,35.87955106599045,128.5970525512644,31.0,-1.0,0.034482758620689655
침산1동,대구광역시 북구 침산1동,20.0,4116,35.899721895741116,128.5842886933282,25.0,-5.0,0.1724137931034483
침산2동,대구광역시 북구 침산2동,25.0,18425,35.88728547461792,128.59603580907455,30.0,-5.0,0.1724137931034483
침산3동,대구광역시 북구 침산3동,25.0,19417,35.892533969013954,128.58814516298074,25.0,0.0,0.0
산격1동,대구광역시 북구 산격1동,25.0,8855,35.897435384055214,128.59744030729814,26.0,-1.0,0.034482758620689655
산격2동,대구광역시 북구 산격2동,25.0,10606,35.906594173290934,128.6076115044011,32.0,-7.0,0.2413793103448276
산격3동,대구광역시 북구 산격3동,40.0,10595,35.89226032881162,128.61021626482346,34.0,6.0,0.0
산격4동,대구광역시 북구 산격4동,35.0,8352,35.89503528880496,128.603081485058,30.0,5.0,0.0
복현1동,대구광역시 북구 복현1동,35.0,7921,35.893209415682875,128.61711227906721,36.0,-1.0,0.034482758620689655
복현2동,대구광역시 북구 복현2동,25.0,31481,35.89875715927889,128.62328408604702,35.0,-10.0,0.3448275862068966
검단동,대구광역시 북구 검단동,25.0,6432,35.91725951069641,128.62233755894073,27.0,-2.0,0.06896551724137931
무태조야동,대구광역시 북구 무태조야동,20.0,36020,35.93764798092285,128.60180439493357,30.0,-10.0,0.3448275862068966
태전2동,대구광역시 북구 태전2동,25.0,24244,35.91877289650099,128.5506623630935,29.0,-4.0,0.13793103448275862
관문동,대구광역시 북구 관문동,20.0,36007,35.90493619777832,128.53682826720222,22.0,-2.0,0.06896551724137931
읍내동,대구광역시 북구 읍내동,35.0,26245,35.95911139867865,128.54359847731874,34.0,1.0,0.0
관음동,대구광역시 북구 관음동,35.0,16043,35.94519074471706,128.54045287460121,30.0,5.0,0.0
