읍면동,강수량 리스크,빗물펌프장 리스크,저지대 리스크,총 인구밀도,어린이 인구밀도,고령자 인구밀도,외국인 인구밀도,하천 인근 지역
가창면,0.34,0.0,5.17,0.01,0.01,0.02,0.0,10
감삼동,10.0,0.0,3.26,7.25,5.16,4.87,0.59,0
검단동,1.59,0.0,3.03,0.39,0.02,0.09,0.05,10
고산1동,0.13,0.0,2.47,0.99,0.71,0.69,0.04,0
고산2동,0.13,1.67,0.0,0.29,0.2,0.24,0.01,10
고산3동,0.13,0.0,2.92,1.65,0.93,1.38,0.06,10
고성동,1.59,0.0,2.7,6.82,6.68,3.32,0.34,0
공산동,0.0,0.0,5.51,0.06,0.03,0.08,0.0,0
관문동,1.59,8.33,3.03,2.19,2.8,2.57,0.26,10
관음동,1.59,0.0,3.82,1.22,0.27,0.77,0.07,0
구암동,1.59,0.0,2.92,1.32,1.67,1.94,0.17,0
구지면,0.34,0.0,3.26,0.13,0.14,0.07,0.21,0
국우동,1.59,0.0,4.83,0.48,0.35,0.26,0.03,0
군위읍,1.38,0.0,0.0,0.02,0.01,0.03,0.02,0
남산1동,0.02,0.0,3.48,3.63,1.84,3.26,0.67,0
남산2동,0.02,0.0,3.03,5.24,4.25,4.01,0.8,0
남산3동,0.02,0.0,3.26,4.14,2.25,4.99,0.6,0
남산4동,0.02,0.0,3.6,10.0,7.72,9.43,0.66,0
내당1동,5.19,0.0,2.36,5.52,2.68,6.38,0.44,0
내당2·3동,5.19,0.0,3.03,3.47,0.77,5.58,0.42,0
내당4동,5.19,0.0,3.71,5.33,1.56,7.02,0.82,0
노원동,1.59,0.0,2.36,2.35,1.31,4.19,1.89,10
논공읍,0.34,0.0,3.26,0.09,0.04,0.09,0.29,0
다사읍,0.34,4.17,10.0,0.68,0.66,0.37,0.12,10
대명10동,0.54,0.0,3.03,4.51,1.06,6.61,0.52,0
대명11동,0.54,0.0,3.93,2.35,0.58,3.7,0.32,0
대명1동,0.54,0.0,3.71,5.87,1.92,7.47,1.67,0
대명2동,0.54,0.0,2.58,3.91,1.33,4.03,0.92,0
대명3동,0.54,0.0,3.37,2.77,0.61,4.01,0.75,0
대명4동,0.54,0.0,3.6,3.69,1.07,5.44,0.38,0
대명5동,0.54,0.0,4.04,2.22,0.58,1.98,2.54,0
대명6동,0.54,0.0,2.81,1.96,0.86,2.18,0.24,0
대명9동,0.54,0.0,4.27,1.1,0.35,1.35,0.23,0
대봉1동,0.02,0.0,3.26,3.63,2.32,3.51,1.02,10
대봉2동,0.02,0.0,3.71,6.54,4.07,4.8,0.69,0
대신동,0.02,0.0,3.48,3.93,2.63,3.87,0.17,0
대현동,1.59,0.0,3.37,0.41,0.46,1.36,0.73,10
도원동,10.0,0.0,2.58,0.82,0.38,0.88,0.03,0
도평동,0.0,2.08,3.37,0.04,0.01,0.06,0.0,0
동인동,0.02,0.0,2.7,2.85,1.18,2.72,0.47,10
동천동,1.59,0.0,3.82,1.01,1.45,1.29,0.14,0
동촌동,0.0,8.75,3.48,1.03,0.39,1.36,0.14,10
"두류1,2동",0.0,0.0,1.46,0.0,0.0,0.0,0.0,0
두류1·2동,10.0,0.0,0.0,3.28,1.0,3.53,0.46,0
두류3동,10.0,0.0,3.48,2.23,0.86,2.59,0.28,0
두산동,0.13,0.0,3.15,2.08,1.2,1.55,0.37,0
만촌1동,0.13,0.0,2.25,1.99,1.25,2.03,0.11,10
만촌2동,0.13,0.0,2.36,2.21,0.96,1.75,0.23,0
만촌3동,0.13,0.0,4.38,3.32,3.13,1.78,0.37,0
무태조야동,1.59,0.42,2.13,0.62,0.43,0.49,0.08,10
방촌동,0.0,0.0,2.81,3.76,1.35,5.29,0.31,10
범물1동,0.13,0.0,7.19,0.51,0.12,0.94,0.02,0
범물2동,0.13,0.0,6.4,1.87,1.13,1.87,0.05,0
범어1동,0.13,0.0,3.15,5.49,5.32,3.27,0.28,0
