펌프장명,위치 (주소),설치년도,위도 (Latitude),경도 (Longitude)
월성펌프장,달서구 달서대로 241-13,2011,35.82,128.52
죽곡펌프장,다사읍 대실역 남로 116,2008,35.86,128.48
성서5차 펌프장,달성군 다사읍 세천리 1515-4,2010,35.89,128.48
이현펌프장,서구 달서천로 2,1993,35.88,128.55
3공단펌프장,서구 염색공단 천로 112,1989,35.89,128.55
비산펌프장,서구 염색공단 천로11길 55-7,1999,35.88,128.56
팔달펌프장,북구 사수로 586-106,1993,35.91,128.56
노곡펌프장,북구 노곡로 12,2012,35.91,128.57
조야펌프장,북구 조야로 2길 7,2013,35.92,128.59
침산펌프장,북구 노원로 57길 31,1989,35.90,128.58
산격펌프장,북구 연암로 209,2013,35.90,128.61
봉무펌프장,동구 위남로 93,2008,35.91,128.65
동촌펌프장,동구 팔공로 23길 105,1992,35.89,128.66
신암펌프장,동구 아양로 41길 26,1989,35.89,128.62
방촌펌프장,동구 호반길 33,1992,35.89,128.68
방촌2펌프장,동구 화랑로 454,2009,35.88,128.68
팔현펌프장,수성구 팔현길 88-86,2010,35.88,128.70
율하펌프장,동구 금호강변로 278,2008,35.87,128.70
서재펌프장,다사읍 서재로 33길 29,2003,35.89,128.51
서재2펌프장,다사읍 서재리 436,2010,35.89,128.52
창리펌프장,달성군 유가읍 창리 889,,35.68,128.46
가천펌프장,수성구 가천동 599-2,2009,35.85,128.69
