adm_nm,pump_details
대구광역시 달서구 신당동,죽곡펌프장 (2008년)
대구광역시 달서구 월성1동,월성펌프장 (2011년)
대구광역시 달성군 다사읍,성서5차 펌프장 (2010년)<br>서재펌프장 (2003년)<br>서재2펌프장 (2010년)
대구광역시 동구 도평동,봉무펌프장 (2008년)
대구광역시 동구 동촌동,동촌펌프장 (1992년)
대구광역시 동구 신암1동,신암펌프장 (1989년)
대구광역시 동구 안심1동,율하펌프장 (2008년)
대구광역시 동구 안심2동,팔현펌프장 (2010년)
대구광역시 동구 해안동,방촌펌프장 (1992년)<br>방촌2펌프장 (2009년)
대구광역시 북구 관문동,팔달펌프장 (1993년)
대구광역시 북구 무태조야동,노곡펌프장 (2012년)<br>조야펌프장 (2013년)
대구광역시 북구 산격2동,산격펌프장 (2013년)
대구광역시 북구 침산1동,침산펌프장 (1989년)
대구광역시 서구 비산7동,3공단펌프장 (1989년)
대구광역시 서구 평리3동,비산펌프장 (1999년)
대구광역시 서구 평리6동,이현펌프장 (1993년)
대구광역시 수성구 고산2동,가천펌프장 (2009년)
