구군,기간시작,기간종료,합계강수량
군위군,2016-06-18,2016-07-16,194.8467183515466
남구,2016-06-18,2016-07-16,201.39435880330953
달서구,2016-06-18,2016-07-16,227.9257778394174
달성군,2016-06-18,2016-07-16,194.52601940319786
동구,2016-06-18,2016-07-16,196.4885685492763
북구,2016-06-18,2016-07-16,176.8506734034643
서구,2016-06-18,2016-07-16,202.83318239853998
수성구,2016-06-18,2016-07-16,196.09182942030932
중구,2016-06-18,2016-07-16,194.01704222955215
군위군,2017-06-29,2017-07-29,78.2374198799652
남구,2017-06-29,2017-07-29,79.36084800533379
달서구,2017-06-29,2017-07-29,86.53166216043444
달성군,2017-06-29,2017-07-29,75.660646675435
동구,2017-06-29,2017-07-29,75.05275221742666
북구,2017-06-29,2017-07-29,78.30880067338583
서구,2017-06-29,2017-07-29,81.51713426005676
수성구,2017-06-29,2017-07-29,75.97177862517609
중구,2017-06-29,2017-07-29,76.75294529258713
군위군,2018-06-26,2018-07-09,249.4981578577373
남구,2018-06-26,2018-07-09,254.77852920179708
달서구,2018-06-26,2018-07-09,254.685515835406
달성군,2018-06-26,2018-07-09,244.16630946433054
동구,2018-06-26,2018-07-09,267.9112097762624
북구,2018-06-26,2018-07-09,232.3655001342678
서구,2018-06-26,2018-07-09,247.86980597435837
수성구,2018-06-26,2018-07-09,263.4155124607604
중구,2018-06-26,2018-07-09,257.92500377320255
군위군,2019-06-26,2019-07-28,248.41858147422442
남구,2019-06-26,2019-07-28,247.5810673816458
달서구,2019-06-26,2019-07-28,255.77036985689855
달성군,2019-06-26,2019-07-28,256.2891461015292
동구,2019-06-26,2019-07-28,242.91314194334524
북구,2019-06-26,2019-07-28,244.01106246910294
서구,2019-06-26,2019-07-28,249.20917707629184
수성구,2019-06-26,2019-07-28,243.84561673572313
중구,2019-06-26,2019-07-28,244.28501931650288
군위군,2020-06-24,2020-07-31,429.83896728895786
남구,2020-06-24,2020-07-31,417.9193193612174
달서구,2020-06-24,2020-07-31,431.30015317681887
달성군,2020-06-24,2020-07-31,474.13139086945324
동구,2020-06-24,2020-07-31,397.37352213968325
북구,2020-06-24,2020-07-31,429.6067429805024
서구,2020-06-24,2020-07-31,425.69714933908756
수성구,2020-06-24,2020-07-31,403.25330740022525
중구,2020-06-24,2020-07-31,408.5545546833075
군위군,2021-07-03,2021-07-19,202.8347882002664
남구,2021-07-03,2021-07-19,197.53075689383544
달서구,2021-07-03,2021-07-19,177.5255634664096
달성군,2021-07-03,2021-07-19,219.23250358945913
동구,2021-07-03,2021-07-19,208.6316103441467
북구,2021-07-03,2021-07-19,200.47341044935428
서구,2021-07-03,2021-07-19,191.4303029745
수성구,2021-07-03,2021-07-19,206.35763153596906
중구,2021-07-03,2021-07-19,204.28220207305617
군위군,2022-06-23,2022-07-25,137.53890840596773
남구,2022-06-23,2022-07-25,139.60290632043106
달서구,2022-06-23,2022-07-25,124.02898549084236
달성군,2022-06-23,2022-07-25,120.40485862114477
동구,2022-06-23,2022-07-25,150.27006697407873
북구,2022-06-23,2022-07-25,145.18166591302497
서구,2022-06-23,2022-07-25,135.99553049724582
수성구,2022-06-23,2022-07-25,147.99120970393153
중구,2022-06-23,2022-07-25,146.60680251198775
군위군,2023-06-25,2023-07-26,463.8237464632671
남구,2023-06-25,2023-07-26,449.33396695929656
달서구,2023-06-25,2023-07-26,469.42530590993215
달성군,2023-06-25,2023-07-26,517.163791282552
동구,2023-06-25,2023-07-26,437.44472157638234
북구,2023-06-25,2023-07-26,434.7005407638972
서구,2023-06-25,2023-07-26,453.6968525766002
수성구,2023-06-25,2023-07-26,440.0591296738709
중구,2023-06-25,2023-07-26,440.45119111326534
군위군,2024-06-22,2024-07-27,432.476263103729
남구,2024-06-22,2024-07-27,437.40057051172414
달서구,2024-06-22,2024-07-27,426.30467359173
달성군,2024-06-22,2024-07-27,339.1583820342513
동구,2024-06-22,2024-07-27,460.6645462106997
북구,2024-06-22,2024-07-27,423.38738707419856
서구,2024-06-22,2024-07-27,432.93685846440655
수성구,2024-06-22,2024-07-27,454.7991796097156
중구,2024-06-22,2024-07-27,448.7179199565385
