일시,구군,추정_일강수량(mm)
2016-01-01,군위군,0.0
2016-01-01,남구,0.0
2016-01-01,달서구,0.0
2016-01-01,달성군,0.0
2016-01-01,동구,0.0
2016-01-01,북구,0.0
2016-01-01,서구,0.0
2016-01-01,수성구,0.0
2016-01-01,중구,0.0
2016-01-02,군위군,0.0
2016-01-02,남구,0.0
2016-01-02,달서구,0.0
2016-01-02,달성군,0.0
2016-01-02,동구,0.0
2016-01-02,북구,0.0
2016-01-02,서구,0.0
2016-01-02,수성구,0.0
2016-01-02,중구,0.0
2016-01-03,군위군,0.0
2016-01-03,남구,0.0
2016-01-03,달서구,0.0
2016-01-03,달성군,0.0
2016-01-03,동구,0.0
2016-01-03,북구,0.0
2016-01-03,서구,0.0
2016-01-03,수성구,0.0
2016-01-03,중구,0.0
2016-01-04,군위군,0.0
2016-01-04,남구,0.0
2016-01-04,달서구,0.0
2016-01-04,달성군,0.0
2016-01-04,동구,0.0
2016-01-04,북구,0.0
2016-01-04,서구,0.0
2016-01-04,수성구,0.0
2016-01-04,중구,0.0
2016-01-05,군위군,0.0
2016-01-05,남구,0.0
2016-01-05,달서구,0.0
2016-01-05,달성군,0.0
2016-01-05,동구,0.0
2016-01-05,북구,0.0
2016-01-05,서구,0.0
2016-01-05,수성구,0.0
2016-01-05,중구,0.0
2016-01-06,군위군,0.0
2016-01-06,남구,0.0
2016-01-06,달서구,0.0
2016-01-06,달성군,0.0
2016-01-06,동구,0.0
2016-01-06,북구,0.0
2016-01-06,서구,0.0
2016-01-06,수성구,0.0
2016-01-06,중구,0.0
2016-01-07,군위군,0.0
2016-01-07,남구,0.0
2016-01-07,달서구,0.0
2016-01-07,달성군,0.0
2016-01-07,동구,0.0
2016-01-07,북구,0.0
2016-01-07,서구,0.0
2016-01-07,수성구,0.0
2016-01-07,중구,0.0
2016-01-08,군위군,0.0
2016-01-08,남구,0.0
2016-01-08,달서구,0.0
2016-01-08,달성군,0.0
2016-01-08,동구,0.0
2016-01-08,북구,0.0
2016-01-08,서구,0.0
2016-01-08,수성구,0.0
2016-01-08,중구,0.0
2016-01-09,군위군,0.0
2016-01-09,남구,0.0
2016-01-09,달서구,0.0
2016-01-09,달성군,0.0
2016-01-09,동구,0.0
2016-01-09,북구,0.0
2016-01-09,서구,0.0
2016-01-09,수성구,0.0
2016-01-09,중구,0.0
2016-01-10,군위군,0.0
2016-01-10,남구,0.0
2016-01-10,달서구,0.0
2016-01-10,달성군,0.0
2016-01-10,동구,0.0
2016-01-10,북구,0.0
2016-01-10,서구,0.0
2016-01-10,수성구,0.0
2016-01-10,중구,0.0
2016-01-11,군위군,0.0
2016-01-11,남구,0.0
2016-01-11,달서구,0.0
2016-01-11,달성군,0.0
2016-01-11,동구,0.0
2016-01-11,북구,0.0
2016-01-11,서구,0.0
2016-01-11,수성구,0.0
2016-01-11,중구,0.0
2016-01-12,군위군,0.0
2016-01-12,남구,0.0
2016-01-12,달서구,0.0
2016-01-12,달성군,0.0
2016-01-12,동구,0.0
2016-01-12,북구,0.0
2016-01-12,서구,0.0
2016-01-12,수성구,0.0
2016-01-12,중구,0.0
2016-01-13,군위군,0.0
2016-01-13,남구,0.0
2016-01-13,달서구,0.0
2016-01-13,달성군,0.0
2016-01-13,동구,0.0
2016-01-13,북구,0.0
2016-01-13,서구,0.0
2016-01-13,수성구,0.0
2016-01-13,중구,0.0
2016-01-14,군위군,0.0
2016-01-14,남구,0.0
2016-01-14,달서구,0.0
2016-01-14,달성군,0.0
2016-01-14,동구,0.0
2016-01-14,북구,0.0
2016-01-14,서구,0.0
2016-01-14,수성구,0.0
2016-01-14,중구,0.0
2016-01-15,군위군,0.0
2016-01-15,남구,0.0
2016-01-15,달서구,0.0
2016-01-15,달성군,0.0
2016-01-15,동구,0.0
2016-01-15,북구,0.0
2016-01-15,서구,0.0
2016-01-15,수성구,0.0
2016-01-15,중구,0.0
2016-01-16,군위군,0.0
2016-01-16,남구,0.0
2016-01-16,달서구,0.0
2016-01-16,달성군,0.0
2016-01-16,동구,0.0
2016-01-16,북구,0.0
2016-01-16,서구,0.0
2016-01-16,수성구,0.0
2016-01-16,중구,0.0
2016-01-17,군위군,1.3249464619100104
2016-01-17,남구,1.3608523096347067
2016-01-17,달서구,1.4658794850155092
2016-01-17,달성군,1.441348082010761
2016-01-17,동구,1.4559276912282464
2016-01-17,북구,1.0353258990250789
2016-01-17,서구,1.2951248761823666
2016-01-17,수성구,1.414538397351879
2016-01-17,중구,1.3527264538149553
2016-01-18,군위군,0.16517671756622604
2016-01-18,남구,0.1521777021284895
2016-01-18,달서구,0.43605575994371
2016-01-18,달성군,0.3887140964615401
2016-01-18,동구,0.009028302963707279
2016-01-18,북구,0.003804788568382766
2016-01-18,서구,0.2014724004531119
2016-01-18,수성구,0.03507020026565695
2016-01-18,중구,0.04380454282280645
2016-01-19,군위군,0.0
2016-01-19,남구,0.0
2016-01-19,달서구,0.0
2016-01-19,달성군,0.0
