행정구,읍면동,인구(명),면적(㎢),인구밀도,어린이수,고령자수,어린이_인구밀도,어린이 인구밀도_norm,고령자_인구밀도,고령자 인구밀도_norm
중구,동인동,10157,0.99,10259.6,749,2139,756.57,0.1180338510174498,2160.61,0.27161200590636325
중구,삼덕동,7290,0.64,11390.62,675,938,1054.69,0.16455208334958737,1465.62,0.1839761526171973
중구,성내1동,5083,0.9,5647.78,163,885,181.11,0.028239868802731303,983.33,0.12316103918703022
중구,성내2동,8323,0.76,10951.32,801,1301,1053.95,0.16443661477342414,1711.84,0.21502364941119206
중구,성내3동,13391,0.79,16950.63,2464,1349,3118.99,0.4866625992600649,1707.59,0.2144877390002812
중구,대신동,7357,0.52,14148.08,878,1599,1688.46,0.26344467728873544,3075.0,0.38691344605525807
중구,남산1동,5099,0.39,13074.36,459,1012,1176.92,0.18362468343665692,2594.87,0.32637070121040096
중구,남산2동,7164,0.38,18852.63,1035,1212,2723.68,0.4249789737964351,3189.47,0.40134772011101544
중구,남산3동,5963,0.4,14907.5,578,1585,1445.0,0.22545551573103312,3962.5,0.49882414951017795
중구,남산4동,16189,0.45,35975.56,2227,3369,4948.89,0.7721976634777576,7486.67,0.9432098889971919
중구,대봉1동,7702,0.59,13054.24,876,1645,1484.75,0.23165805073439574,2788.14,0.3507413847672825
중구,대봉2동,5880,0.25,23520.0,652,954,2608.0,0.4069284266470266,3816.0,0.4803510024046616
동구,신암1동,10978,0.6,18296.67,1204,2768,2006.67,0.31309772542508824,4613.33,0.5808915783885615
동구,신암2동,11642,0.38,30636.84,1558,2576,4100.0,0.639738042370726,6778.95,0.8539688264066387
동구,신암3동,11307,0.6,18845.0,1570,2158,2616.67,0.40828128145153364,3596.67,0.4526942423046418
동구,신암4동,18364,1.16,15831.03,1500,3685,1293.1,0.20175324989428384,3176.72,0.39973998887828277
동구,신암5동,7437,0.51,14582.35,627,2124,1229.41,0.19181515041342434,4164.71,0.5243221363784815
동구,신천1·2동,11308,0.48,23558.33,697,3563,1452.08,0.2265602691354056,7422.92,0.9351712328335287
동구,신천3동,14236,0.7,20337.14,1725,2521,2464.29,0.3845041170788947,3601.43,0.45329446196486195
동구,신천4동,10725,0.78,13750.0,829,2123,1062.82,0.1658206773012185,2721.79,0.34237487752870904
동구,효목1동,11738,1.37,8567.88,526,4185,383.94,0.05988918137460659,3054.74,0.38435872960230405
