행정구,읍면동,인구(명),면적(㎢),세대수,통,리,반,인구밀도,읍면동 인구밀도_norm
중구,동인동,10157,0.99,5948,27.0,,167,10259.6,0.2849580986907284
중구,삼덕동,7290,0.64,4447,14.0,,89,11390.62,0.31640653348448344
중구,성내1동,5083,0.9,3736,17.0,,105,5647.78,0.15672471594724433
중구,성내2동,8323,0.76,4731,17.0,,127,10951.32,0.30419163241739655
중구,성내3동,13391,0.79,5754,21.0,,135,16950.63,0.47100469438139586
중구,대신동,7357,0.52,3276,17.0,,99,14148.08,0.3930787417623103
중구,남산1동,5099,0.39,2778,11.0,,77,13074.36,0.36322355493382746
중구,남산2동,7164,0.38,3348,12.0,,82,18852.63,0.5238905168935726
중구,남산3동,5963,0.4,2714,13.0,,80,14907.5,0.41419469935021624
중구,남산4동,16189,0.45,6919,26.0,,174,35975.56,1.0
중구,대봉1동,7702,0.59,3506,18.0,,112,13054.24,0.36266411079663236
중구,대봉2동,5880,0.25,2559,11.0,,71,23520.0,0.6536684881967576
동구,신암1동,10978,0.6,5421,19.0,,104,18296.67,0.5084318408242403
동구,신암2동,11642,0.38,5215,13.0,,80,30636.84,0.851554890450995
동구,신암3동,11307,0.6,5056,16.0,,87,18845.0,0.5236783618852824
동구,신암4동,18364,1.16,9522,22.0,,144,15831.03,0.4398737969657108
동구,신암5동,7437,0.51,3762,11.0,,69,14582.35,0.40515378179509837
동구,신천1·2동,11308,0.48,5814,16.0,,92,23558.33,0.6547342682056387
동구,신천3동,14236,0.7,6389,16.0,,99,20337.14,0.5651678735589518
동구,신천4동,10725,0.78,6299,14.0,,81,13750.0,0.3820099782367334
동구,효목1동,11738,1.37,6484,21.0,,130,8567.88,0.2379191903519799
동구,효목2동,14030,0.72,7029,20.0,,114,19486.11,0.5415046656028332
동구,도평동,3546,20.73,2002,11.0,,58,171.06,0.004442464701772064
동구,불로봉무동,19679,7.78,8561,23.0,,136,2529.43,0.07001782602566381
동구,지저동,12759,2.17,6589,17.0,,119,5879.72,0.16317389453477021
동구,동촌동,14203,3.81,7531,18.0,,99,3727.82,0.1033395089070347
동구,방촌동,17067,1.26,8080,22.0,,132,13545.24,0.3763165497311638
동구,해안동,13415,13.3,6820,24.0,,113,1008.65,0.027731968423104377
동구,안심1동,37824,3.3,19197,50.0,,301,11461.82,0.3183862761568635
동구,안심2동,16775,13.63,7654,25.0,,120,1230.74,0.033907264070701285
동구,안심3동,20026,6.1,8465,21.0,,122,3282.95,0.09096973190335852
동구,안심4동,26647,2.53,11726,30.0,,173,10532.41,0.29254368293865
동구,혁신동,16820,16.41,8252,23.0,,111,1024.98,0.02818603019051965
동구,공산동,20042,83.79,9550,46.0,,163,239.19,0.006336844874093094
서구,내당1동,9338,0.47,4686,18.0,,119,19868.09,0.5521257625971555
서구,내당2·3동,8123,0.65,4536,20.0,,146,12496.92,0.3471676194178278
서구,내당4동,14380,0.75,7615,30.0,,179,19173.33,0.5328077005316667
서구,비산1동,8092,0.64,4481,19.0,,139,12643.75,0.35125028257211954
서구,비산2·3동,7855,0.49,4628,22.0,,160,16030.61,0.44542319363078975
서구,비산4동,8564,0.39,4425,18.0,,135,21958.97,0.6102634642660619
서구,비산5동,5014,0.28,3014,14.0,,102,17907.14,0.4976008132515967
서구,비산6동,6543,0.27,3547,13.0,,99,24233.33,0.6735028960687929
서구,비산7동,8288,2.74,4904,23.0,,170,3024.82,0.08379233055474226
서구,평리1동,6449,0.39,3591,16.0,,110,16535.9,0.4594729713685278
서구,평리2동,7087,0.29,3405,12.0,,87,24437.93,0.6791918757144244
서구,평리3동,12370,0.77,6226,24.0,,166,16064.94,0.4463777521412225
서구,평리4동,15577,0.73,7986,27.0,,184,21338.36,0.5930071707280589
서구,평리5동,10267,0.42,4301,13.0,,87,24445.24,0.6793951330028388
서구,평리6동,5427,0.73,2697,15.0,,101,7434.25,0.20639818353048736
서구,상중이동,17472,6.71,8344,30.0,,209,2603.87,0.07208765811178706
서구,원대동,10212,0.6,5314,20.0,,144,17020.0,0.4729335532182358
남구,이천동,14355,1.09,6869,30.0,,184,13169.72,0.3658750754568354
남구,봉덕1동,7953,0.49,4796,20.0,,125,16230.61,0.45098426855320584
남구,봉덕2동,13068,3.06,5891,30.0,,178,4270.59,0.1184314320852335
남구,봉덕3동,14409,2.69,7685,32.0,,191,5356.51,0.14862584448398372
남구,대명1동,9511,0.45,5328,20.0,,121,21135.56,0.587368240756729
남구,대명2동,11667,0.83,7117,30.0,,184,14056.63,0.3905359402540355
남구,대명3동,9374,0.94,5811,34.0,,202,9972.34,0.2769707267796622
남구,대명4동,9421,0.71,5451,30.0,,183,13269.01,0.36863587110206886
남구,대명5동,7355,0.92,4034,22.0,,134,7994.57,0.22197809103312818
남구,대명6동,10574,1.5,5769,22.0,,135,7049.33,0.19569533873480544
남구,대명9동,13383,3.38,7765,28.0,,171,3959.47,0.10978062393592307
남구,대명10동,8116,0.5,4809,20.0,,123,16232.0,0.4510229180239166
남구,대명11동,7373,0.87,4325,21.0,,133,8474.71,0.23532856359937238
북구,고성동,13009,0.53,5549,23.0,,120,24545.28,0.6821767826790313
북구,칠성동,22583,1.33,10515,41.0,,269,16979.7,0.47181299662136905
북구,침산1동,3532,1.24,1899,18.0,,87,2848.39,0.07888662831193292
북구,침산2동,17915,0.99,7115,26.0,,164,18095.96,0.5028510240858497
북구,침산3동,18036,1.07,7353,29.0,,188,16856.07,0.46837541815807754
북구,노원동,7712,0.91,4737,27.0,,159,8474.73,0.23532911970686463
북구,산격1동,9663,2.29,4565,21.0,,142,4219.65,0.11701502630249412
북구,산격2동,8209,0.8,5790,24.0,,127,10261.25,0.28500397755883833
북구,산격3동,7207,0.74,4122,21.0,,126,9739.19,0.2704879036888557
북구,산격4동,6962,0.39,5056,15.0,,79,17851.28,0.4960476050257659
북구,복현1동,29093,1.86,12680,38.0,,266,15641.4,0.434601063778022
북구,복현2동,15721,1.22,8672,32.0,,198,12886.07,0.35798808094811885
북구,대현동,5621,3.81,3050,16.0,,95,1475.33,0.04070818064707
북구,검단동,33279,23.25,14786,56.0,,300,1431.35,0.039485300271630705
북구,무태조야동,32719,14.63,13954,58.0,,298,2236.43,0.06187085126432429
북구,관문동,21313,2.7,10914,32.0,,204,7893.7,0.21917336289600764
북구,태전1동,22081,1.71,10389,37.0,,242,12912.87,0.3587332649877226
북구,태전2동,31154,4.41,13027,43.0,,299,7064.4,0.19611436573020946
북구,구암동,14233,3.0,7019,29.0,,192,4744.33,0.1316039502539604
북구,관음동,25186,5.71,11667,43.0,,248,4410.86,0.12233169198206999
북구,읍내동,25208,1.12,10335,35.0,,252,22507.14,0.625505536467166
북구,동천동,11139,3.05,5739,37.0,,196,3652.13,0.10123492010264633
북구,국우동,29741,17.19,13549,49.0,,304,1730.13,0.04779299009822805
수성구,범어1동,21318,1.08,8189,26.0,,209,19738.89,0.5485333081972747
수성구,범어2동,14194,1.13,6663,22.0,,160,12561.06,0.34895105614544664
수성구,범어3동,17304,0.58,6701,21.0,,153,29834.48,0.8292449700772462
수성구,범어4동,18660,1.08,6413,26.0,,171,17277.78,0.48010122268573785
수성구,만촌1동,20639,2.88,8619,36.0,,242,7166.32,0.1989482895106727
수성구,만촌2동,12897,1.62,5686,22.0,,141,7961.11,0.22104772319860796
수성구,만촌3동,21283,1.78,7748,27.0,,212,11956.74,0.33214771215987426
수성구,수성1가동,17161,0.58,7288,25.0,,187,29587.93,0.8223895549666378
수성구,수성2·3가동,10356,0.65,4230,18.0,,104,15932.31,0.44268992530642226
수성구,수성4가동,13186,0.63,5685,22.0,,164,20930.16,0.5816570168114076
수성구,황금1동,21595,2.69,7977,25.0,,219,8027.88,0.22290428806145657
수성구,황금2동,11307,1.16,5812,19.0,,109,9747.41,0.270716463868167
수성구,중동,14454,0.91,7058,26.0,,154,15883.52,0.44133330107909885
수성구,상동,14226,1.33,7306,25.0,,158,10696.24,0.2970990374613471
수성구,파동,15860,5.82,7353,24.0,,164,2725.09,0.07545822562226344
수성구,두산동,14770,1.97,7503,23.0,,132,7497.46,0.20815576125971696
수성구,지산1동,18979,2.64,9948,35.0,,229,7189.02,0.19957947151436692
수성구,지산2동,18486,1.97,8456,25.0,,247,9383.76,0.260605039390484
수성구,범물1동,9956,5.44,5719,26.0,,165,1830.15,0.050574083666928324
수성구,범물2동,15712,2.33,6489,26.0,,181,6743.35,0.1871874502110011
수성구,고산1동,31451,8.79,12266,44.0,,337,3578.04,0.0991748198976373
수성구,고산2동,26004,24.47,10684,40.0,,289,1062.69,0.029234570867141197
수성구,고산3동,29738,5.01,12241,41.0,,308,5935.73,0.16473127356679282
달서구,성당동,20585,1.99,10156,44.0,,287,10344.22,0.2873109894904026
달서구,두류1·2동,15690,1.33,9084,34.0,,224,11796.99,0.3277058035655945
달서구,두류3동,8980,1.12,4598,18.0,,107,8017.86,0.2226256782078435
달서구,본리동,22586,1.09,9566,33.0,,215,20721.1,0.5758440251950061
달서구,감삼동,30766,1.18,13434,47.0,,329,26072.88,0.7246522729364451
달서구,죽전동,14436,0.74,7618,28.0,,178,19508.11,0.5421163838442989
달서구,장기동,15569,3.11,7041,22.0,,183,5006.11,0.13888284121991076
달서구,용산1동,28582,1.29,12521,41.0,,299,22156.59,0.6157583623969013
달서구,용산2동,25397,1.32,11196,33.0,,275,19240.15,0.5346656556632459
달서구,이곡1동,20195,1.82,8940,29.0,,235,11096.15,0.3082186848224641
달서구,이곡2동,14468,2.04,6864,25.0,,216,7092.16,0.19688624292944082
달서구,신당동,28388,9.35,17178,53.0,,365,3036.15,0.08410736544909712
달서구,월성1동,39795,2.18,13291,43.0,,305,18254.59,0.507261790660564
달서구,월성2동,13808,6.3,7965,34.0,,220,2191.75,0.060628507126656545
달서구,진천동,49917,5.11,21498,67.0,,456,9768.49,0.2713026011649896
달서구,유천동,33200,1.25,10995,29.0,,188,26560.0,0.7381968270174816
달서구,상인1동,32762,1.39,12853,51.0,,373,23569.78,0.6550526397449469
달서구,상인2동,17235,0.9,8773,37.0,,228,19150.0,0.5321590011419668
달서구,상인3동,9754,3.68,5967,21.0,,125,2650.54,0.07338533494493285
달서구,도원동,31717,10.65,13671,43.0,,363,2978.12,0.0824938195603581
달서구,송현1동,16363,2.46,9379,33.0,,210,6651.63,0.1846371412515811
달서구,송현2동,18176,0.97,9726,37.0,,248,18738.14,0.5207070795542355
달서구,본동,11713,1.1,6226,23.0,,153,10648.18,0.29576271115749053
달성군,화원읍,46054,27.68,20265,,51.0,561,1663.8,0.04594865960020877
달성군,논공읍,15355,43.89,8238,,33.0,191,349.85,0.009413787628665897
달성군,다사읍,90046,36.68,36104,,66.0,851,2454.91,0.06794576950957158
달성군,유가읍,31155,57.25,12256,,37.0,341,544.19,0.014817484130777579
달성군,옥포읍,22817,48.93,10719,,27.0,324,466.32,0.012652279609734886
달성군,현풍읍,21434,24.57,11721,,37.0,245,872.36,0.023942373917223956
달성군,가창면,6937,111.33,3556,,28.0,123,62.31,0.0014186302127083355
달성군,하빈면,3236,38.2,1920,,21.0,62,84.71,0.0020414706040189335
달성군,구지면,18912,39.84,9005,,34.0,192,474.7,0.012885288648984118
군위군,군위읍,7800,84.07,4239,,34.0,113,92.78,0.0022658599771384212
군위군,소보면,2245,101.35,1425,,26.0,63,22.15,0.00030196636828719173
군위군,효령면,3612,98.43,2186,,32.0,72,36.7,0.0007065345688929598
군위군,부계면,2048,64.81,1264,,15.0,43,31.6,0.0005647271583713503
군위군,우보면,1962,59.83,1265,,19.0,58,32.79,0.0005978155541597258
군위군,의흥면,2236,54.26,1410,,24.0,67,41.21,0.0008319368083934417
군위군,산성면,1197,36.99,785,,14.0,43,32.36,0.0005858592430765313
군위군,삼국유사면,1294,114.6,864,,18.0,45,11.29,0.0
