구군,기간시작,기간종료,합계강수량,행정동
군위군,2016-06-18,2016-07-16,194.8467183515466,군위읍
군위군,2016-06-18,2016-07-16,194.8467183515466,소보면
군위군,2016-06-18,2016-07-16,194.8467183515466,효령면
군위군,2016-06-18,2016-07-16,194.8467183515466,부계면
군위군,2016-06-18,2016-07-16,194.8467183515466,우보면
군위군,2016-06-18,2016-07-16,194.8467183515466,의흥면
군위군,2016-06-18,2016-07-16,194.8467183515466,산성면
군위군,2016-06-18,2016-07-16,194.8467183515466,삼국유사면
남구,2016-06-18,2016-07-16,201.39435880330956,이천동
남구,2016-06-18,2016-07-16,201.39435880330956,봉덕1동
남구,2016-06-18,2016-07-16,201.39435880330956,봉덕2동
남구,2016-06-18,2016-07-16,201.39435880330956,봉덕3동
남구,2016-06-18,2016-07-16,201.39435880330956,대명1동
남구,2016-06-18,2016-07-16,201.39435880330956,대명2동
남구,2016-06-18,2016-07-16,201.39435880330956,대명3동
남구,2016-06-18,2016-07-16,201.39435880330956,대명4동
남구,2016-06-18,2016-07-16,201.39435880330956,대명5동
남구,2016-06-18,2016-07-16,201.39435880330956,대명6동
남구,2016-06-18,2016-07-16,201.39435880330956,대명9동
남구,2016-06-18,2016-07-16,201.39435880330956,대명10동
남구,2016-06-18,2016-07-16,201.39435880330956,대명11동
달서구,2016-06-18,2016-07-16,227.9257778394174,두류3동
달서구,2016-06-18,2016-07-16,227.9257778394174,본리동
달서구,2016-06-18,2016-07-16,227.9257778394174,감삼동
달서구,2016-06-18,2016-07-16,227.9257778394174,죽전동
달서구,2016-06-18,2016-07-16,227.9257778394174,장기동
달서구,2016-06-18,2016-07-16,227.9257778394174,이곡1동
달서구,2016-06-18,2016-07-16,227.9257778394174,신당동
달서구,2016-06-18,2016-07-16,227.9257778394174,월성2동
달서구,2016-06-18,2016-07-16,227.9257778394174,상인1동
달서구,2016-06-18,2016-07-16,227.9257778394174,상인2동
달서구,2016-06-18,2016-07-16,227.9257778394174,상인3동
달서구,2016-06-18,2016-07-16,227.9257778394174,도원동
달서구,2016-06-18,2016-07-16,227.9257778394174,송현1동
달서구,2016-06-18,2016-07-16,227.9257778394174,송현2동
달서구,2016-06-18,2016-07-16,227.9257778394174,본동
달서구,2016-06-18,2016-07-16,227.9257778394174,용산1동
달서구,2016-06-18,2016-07-16,227.9257778394174,용산2동
달서구,2016-06-18,2016-07-16,227.9257778394174,이곡2동
달서구,2016-06-18,2016-07-16,227.9257778394174,성당동
달서구,2016-06-18,2016-07-16,227.9257778394174,두류1·2동
달서구,2016-06-18,2016-07-16,227.9257778394174,월성1동
달서구,2016-06-18,2016-07-16,227.9257778394174,진천동
달서구,2016-06-18,2016-07-16,227.9257778394174,유천동
달성군,2016-06-18,2016-07-16,194.52601940319784,화원읍
달성군,2016-06-18,2016-07-16,194.52601940319784,논공읍
달성군,2016-06-18,2016-07-16,194.52601940319784,다사읍
달성군,2016-06-18,2016-07-16,194.52601940319784,유가읍
달성군,2016-06-18,2016-07-16,194.52601940319784,옥포읍
달성군,2016-06-18,2016-07-16,194.52601940319784,현풍읍
달성군,2016-06-18,2016-07-16,194.52601940319784,가창면
달성군,2016-06-18,2016-07-16,194.52601940319784,하빈면
달성군,2016-06-18,2016-07-16,194.52601940319784,구지면
동구,2016-06-18,2016-07-16,196.4885685492763,신암1동
동구,2016-06-18,2016-07-16,196.4885685492763,신암2동
동구,2016-06-18,2016-07-16,196.4885685492763,신암3동
동구,2016-06-18,2016-07-16,196.4885685492763,신암4동
동구,2016-06-18,2016-07-16,196.4885685492763,신암5동
동구,2016-06-18,2016-07-16,196.4885685492763,신천1·2동
동구,2016-06-18,2016-07-16,196.4885685492763,신천3동
동구,2016-06-18,2016-07-16,196.4885685492763,신천4동
동구,2016-06-18,2016-07-16,196.4885685492763,효목1동
동구,2016-06-18,2016-07-16,196.4885685492763,효목2동
동구,2016-06-18,2016-07-16,196.4885685492763,도평동
동구,2016-06-18,2016-07-16,196.4885685492763,불로·봉무동
동구,2016-06-18,2016-07-16,196.4885685492763,지저동
동구,2016-06-18,2016-07-16,196.4885685492763,동촌동
동구,2016-06-18,2016-07-16,196.4885685492763,방촌동
동구,2016-06-18,2016-07-16,196.4885685492763,해안동
동구,2016-06-18,2016-07-16,196.4885685492763,공산동
동구,2016-06-18,2016-07-16,196.4885685492763,안심1동
동구,2016-06-18,2016-07-16,196.4885685492763,안심2동
동구,2016-06-18,2016-07-16,196.4885685492763,안심3동
동구,2016-06-18,2016-07-16,196.4885685492763,안심4동
동구,2016-06-18,2016-07-16,196.4885685492763,혁신동
북구,2016-06-18,2016-07-16,176.8506734034643,고성동
북구,2016-06-18,2016-07-16,176.8506734034643,칠성동
북구,2016-06-18,2016-07-16,176.8506734034643,침산1동
북구,2016-06-18,2016-07-16,176.8506734034643,침산2동
북구,2016-06-18,2016-07-16,176.8506734034643,침산3동
북구,2016-06-18,2016-07-16,176.8506734034643,산격1동
북구,2016-06-18,2016-07-16,176.8506734034643,산격2동
북구,2016-06-18,2016-07-16,176.8506734034643,산격3동
북구,2016-06-18,2016-07-16,176.8506734034643,산격4동
북구,2016-06-18,2016-07-16,176.8506734034643,복현1동
북구,2016-06-18,2016-07-16,176.8506734034643,복현2동
북구,2016-06-18,2016-07-16,176.8506734034643,검단동
북구,2016-06-18,2016-07-16,176.8506734034643,무태조야동
북구,2016-06-18,2016-07-16,176.8506734034643,태전2동
북구,2016-06-18,2016-07-16,176.8506734034643,관문동
북구,2016-06-18,2016-07-16,176.8506734034643,읍내동
북구,2016-06-18,2016-07-16,176.8506734034643,관음동
북구,2016-06-18,2016-07-16,176.8506734034643,태전1동
북구,2016-06-18,2016-07-16,176.8506734034643,구암동
북구,2016-06-18,2016-07-16,176.8506734034643,노원동
