
[검색조건]지점 :대구 , 기간 : 20110101 ~ 20251231
지점번호,지점명,시작일,종료일,장마일수,강수일수,합계강수량
143,대구,2011-06-10,2011-07-10,31,15,508.1
143,대구,2012-06-18,2012-07-17,30,16,251.5
143,대구,2013-06-18,2013-08-02,46,20,328.3
143,대구,2014-07-02,2014-07-29,28,14,109.1
143,대구,2015-06-24,2015-07-29,36,14,195
143,대구,2016-06-18,2016-07-16,29,16,189
143,대구,2017-06-29,2017-07-29,31,15,91.6
143,대구,2018-06-26,2018-07-09,14,10,266
143,대구,2019-06-26,2019-07-28,33,16,253.9
143,대구,2020-06-24,2020-07-31,38,22,381.6
143,대구,2021-07-03,2021-07-19,17,13,147.9
143,대구,2022-06-23,2022-07-25,33,13,124.8
143,대구,2023-06-25,2023-07-26,32,20,454.1
143,대구,2024-06-22,2024-07-27,36,22,442.9

