행정구역,동읍면,연령,계,남자,여자
중구,소계,0~4세,"3,793","1,937","1,856"
중구,소계,5~9세,"4,131","2,070","2,061"
중구,소계,10~14세,"3,633","1,803","1,830"
중구,소계,15~19세,"3,449","1,714","1,735"
중구,소계,20~24세,"5,551","2,532","3,019"
중구,소계,25~29세,"7,915","3,666","4,249"
중구,소계,30~34세,"9,187","4,554","4,633"
중구,소계,35~39세,"7,929","4,226","3,703"
중구,소계,40~44세,"7,816","4,095","3,721"
중구,소계,45~49세,"6,498","3,200","3,298"
중구,소계,50~54세,"7,430","3,615","3,815"
중구,소계,55~59세,"6,409","3,139","3,270"
중구,소계,60~64세,"5,982","2,829","3,153"
중구,소계,65~69세,"5,506","2,511","2,995"
중구,소계,70~74세,"4,146","1,756","2,390"
중구,소계,75~79세,"3,490","1,403","2,087"
중구,소계,80~84세,"2,732","1,086","1,646"
중구,소계,85~89세,"1,494",488,"1,006"
중구,소계,90~94세,498,136,362
중구,소계,95~99세,101,24,77
중구,소계,100세이상,21,5,16
중구,동인동,0~4세,267,135,132
중구,동인동,5~9세,196,85,111
중구,동인동,10~14세,286,151,135
중구,동인동,15~19세,306,161,145
중구,동인동,20~24세,573,286,287
중구,동인동,25~29세,965,471,494
중구,동인동,30~34세,"1,117",577,540
중구,동인동,35~39세,749,426,323
중구,동인동,40~44세,687,374,313
중구,동인동,45~49세,579,321,258
중구,동인동,50~54세,764,398,366
중구,동인동,55~59세,684,346,338
중구,동인동,60~64세,696,365,331
중구,동인동,65~69세,626,300,326
중구,동인동,70~74세,483,212,271
중구,동인동,75~79세,418,163,255
중구,동인동,80~84세,334,126,208
중구,동인동,85~89세,181,62,119
중구,동인동,90~94세,75,24,51
중구,동인동,95~99세,18,3,15
중구,동인동,100세이상,4,2,2
중구,삼덕동,0~4세,183,93,90
중구,삼덕동,5~9세,218,113,105
중구,삼덕동,10~14세,274,140,134
중구,삼덕동,15~19세,223,105,118
중구,삼덕동,20~24세,660,301,359
중구,삼덕동,25~29세,"1,105",556,549
중구,삼덕동,30~34세,818,443,375
중구,삼덕동,35~39세,550,304,246
중구,삼덕동,40~44세,513,260,253
중구,삼덕동,45~49세,473,221,252
중구,삼덕동,50~54세,485,250,235
중구,삼덕동,55~59세,350,170,180
중구,삼덕동,60~64세,316,162,154
중구,삼덕동,65~69세,307,121,186
중구,삼덕동,70~74세,228,91,137
중구,삼덕동,75~79세,160,68,92
중구,삼덕동,80~84세,136,52,84
중구,삼덕동,85~89세,78,22,56
중구,삼덕동,90~94세,23,7,16
중구,삼덕동,95~99세,5,2,3
중구,삼덕동,100세이상,1,-,1
중구,성내1동,0~4세,27,12,15
중구,성내1동,5~9세,62,35,27
중구,성내1동,10~14세,74,37,37
중구,성내1동,15~19세,102,44,58
중구,성내1동,20~24세,589,202,387
중구,성내1동,25~29세,"1,007",438,569
중구,성내1동,30~34세,604,333,271
중구,성내1동,35~39세,261,155,106
중구,성내1동,40~44세,233,135,98
중구,성내1동,45~49세,222,124,98
중구,성내1동,50~54세,278,141,137
중구,성내1동,55~59세,250,137,113
중구,성내1동,60~64세,243,129,114
중구,성내1동,65~69세,267,140,127
중구,성내1동,70~74세,181,81,100
중구,성내1동,75~79세,172,65,107
중구,성내1동,80~84세,145,62,83
중구,성내1동,85~89세,82,24,58
중구,성내1동,90~94세,23,3,20
중구,성내1동,95~99세,13,4,9
중구,성내1동,100세이상,2,1,1
중구,성내2동,0~4세,304,167,137
중구,성내2동,5~9세,293,150,143
중구,성내2동,10~14세,204,99,105
중구,성내2동,15~19세,275,135,140
중구,성내2동,20~24세,668,230,438
중구,성내2동,25~29세,912,400,512
중구,성내2동,30~34세,794,388,406
중구,성내2동,35~39세,683,376,307
중구,성내2동,40~44세,552,311,241
중구,성내2동,45~49세,498,259,239
중구,성내2동,50~54세,552,278,274
중구,성내2동,55~59세,503,270,233
중구,성내2동,60~64세,459,230,229
