행정구역,동읍면,성별,총인구,한국인,외국인
합계,소계,계,"2,400,339","2,363,629","36,710"
,소계,남자,"1,179,564","1,159,601","19,963"
,소계,여자,"1,220,775","1,204,028","16,747"
중구,소계,계,"98,673","97,711",962
중구,소계,남자,"47,239","46,789",450
중구,소계,여자,"51,434","50,922",512
중구,동인동,계,"10,107","10,008",99
중구,동인동,남자,"5,028","4,988",40
중구,동인동,여자,"5,079","5,020",59
중구,삼덕동,계,"7,215","7,106",109
중구,삼덕동,남자,"3,527","3,481",46
중구,삼덕동,여자,"3,688","3,625",63
중구,성내1동,계,"4,917","4,837",80
중구,성내1동,남자,"2,342","2,302",40
중구,성내1동,여자,"2,575","2,535",40
중구,성내2동,계,"8,191","7,998",193
중구,성내2동,남자,"3,992","3,884",108
중구,성내2동,여자,"4,199","4,114",85
중구,성내3동,계,"12,887","12,826",61
중구,성내3동,남자,"6,371","6,341",30
중구,성내3동,여자,"6,516","6,485",31
중구,대신동,계,"7,376","7,357",19
중구,대신동,남자,"3,566","3,560",6
중구,대신동,여자,"3,810","3,797",13
중구,남산1동,계,"4,992","4,936",56
중구,남산1동,남자,"2,371","2,344",27
중구,남산1동,여자,"2,621","2,592",29
중구,남산2동,계,"7,215","7,150",65
중구,남산2동,남자,"3,388","3,353",35
중구,남산2동,여자,"3,827","3,797",30
중구,남산3동,계,"6,032","5,981",51
중구,남산3동,남자,"2,755","2,734",21
중구,남산3동,여자,"3,277","3,247",30
중구,남산4동,계,"16,399","16,336",63
중구,남산4동,남자,"7,632","7,611",21
중구,남산4동,여자,"8,767","8,725",42
중구,대봉1동,계,"7,864","7,735",129
중구,대봉1동,남자,"3,655","3,595",60
중구,대봉1동,여자,"4,209","4,140",69
중구,대봉2동,계,"5,478","5,441",37
중구,대봉2동,남자,"2,612","2,596",16
중구,대봉2동,여자,"2,866","2,845",21
동구,소계,계,"344,413","342,339","2,074"
동구,소계,남자,"168,166","167,438",728
동구,소계,여자,"176,247","174,901","1,346"
동구,신암1동,계,"11,114","11,050",64
동구,신암1동,남자,"5,528","5,497",31
동구,신암1동,여자,"5,586","5,553",33
동구,신암2동,계,"11,774","11,733",41
동구,신암2동,남자,"5,549","5,536",13
동구,신암2동,여자,"6,225","6,197",28
동구,신암3동,계,"11,372","11,317",55
동구,신암3동,남자,"5,600","5,582",18
동구,신암3동,여자,"5,772","5,735",37
동구,신암4동,계,"18,400","18,271",129
동구,신암4동,남자,"9,113","9,057",56
동구,신암4동,여자,"9,287","9,214",73
동구,신암5동,계,"7,624","7,587",37
동구,신암5동,남자,"3,606","3,597",9
동구,신암5동,여자,"4,018","3,990",28
동구,신천1·2동,계,"11,395","11,365",30
동구,신천1·2동,남자,"5,269","5,264",5
동구,신천1·2동,여자,"6,126","6,101",25
동구,신천3동,계,"14,374","14,286",88
동구,신천3동,남자,"7,087","7,044",43
동구,신천3동,여자,"7,287","7,242",45
동구,신천4동,계,"10,399","10,303",96
동구,신천4동,남자,"5,103","5,074",29
동구,신천4동,여자,"5,296","5,229",67
동구,효목1동,계,"11,995","11,924",71
동구,효목1동,남자,"5,924","5,907",17
동구,효목1동,여자,"6,071","6,017",54
동구,효목2동,계,"13,995","13,940",55
동구,효목2동,남자,"6,645","6,626",19
동구,효목2동,여자,"7,350","7,314",36
동구,도평동,계,"3,617","3,599",18
