행정구,읍면동,총 인구(명),외국인 인구(명),면적(㎢),외국인 인구밀도,외국인 인구밀도_norm
중구,동인동,10107,99,0.99,100.0,0.046783434124056854
중구,삼덕동,7215,109,0.64,170.31,0.0796933216004194
중구,성내1동,4917,80,0.9,88.89,0.04158319447304864
중구,성내2동,8191,193,0.76,253.95,0.11884256052124097
중구,성내3동,12887,61,0.79,77.22,0.03612083653180058
중구,대신동,7376,19,0.52,36.54,0.017079815019378032
중구,남산1동,4992,56,0.39,143.59,0.0671865346089757
중구,남산2동,7215,65,0.38,171.05,0.08003969219823634
중구,남산3동,6032,51,0.4,127.5,0.05965531444833463
중구,남산4동,16399,63,0.45,140.0,0.06550616914118816
중구,대봉1동,7864,129,0.59,218.64,0.10231506618486831
중구,대봉2동,5478,37,0.25,148.0,0.06925071614461442
동구,신암1동,11114,64,0.6,106.67,0.0499054501881635
동구,신암2동,11774,41,0.38,107.89,0.05047649360618601
동구,신암3동,11372,55,0.6,91.67,0.04288442455673926
동구,신암4동,18400,129,1.16,111.21,0.0520304806126079
동구,신암5동,7624,37,0.51,72.55,0.03393495721855049
동구,신천1·2동,11395,30,0.48,62.5,0.02923087004549625
동구,신천3동,14374,88,0.7,125.71,0.058817472056318
동구,신천4동,10399,96,0.78,123.08,0.05758645222894162
동구,효목1동,11995,71,1.37,51.82,0.024231899795922194
동구,효목2동,13995,55,0.72,76.39,0.035732339780195105
동구,도평동,3617,18,20.73,0.87,0.0003838160678511918
동구,불로봉무동,20078,186,7.78,23.91,0.011168111437718826
동구,지저동,13112,90,2.17,41.47,0.019387392110239467
동구,동촌동,14463,117,3.81,30.71,0.014350976390631149
동구,방촌동,17334,84,1.26,66.67,0.03118271517103219
동구,해안동,13704,75,13.3,5.64,0.0026165022186441
동구,안심1동,38465,255,3.3,77.27,0.03614423995057199
동구,안심2동,16407,78,13.63,5.72,0.0026539476886783624
동구,안심3동,20379,146,6.1,23.93,0.01117747280522739
동구,안심4동,26964,181,2.53,71.54,0.033462208159367936
동구,혁신동,17029,89,16.41,5.42,0.002513527176049878
동구,공산동,20419,89,83.79,1.06,0.00047274905918256554
서구,내당1동,9545,44,0.47,93.62,0.04379715788882441
서구,내당2·3동,8355,58,0.65,89.23,0.04174233772069425
서구,내당4동,14720,131,0.75,174.67,0.08173409971728672
서구,비산1동,8390,101,0.64,157.81,0.07384246690756588
서구,비산2·3동,8085,49,0.49,100.0,0.046783434124056854
서구,비산4동,8749,39,0.39,100.0,0.046783434124056854
서구,비산5동,5319,219,0.28,782.14,0.36607159573870557
서구,비산6동,6692,40,0.27,148.15,0.06932092640092867
서구,비산7동,9543,1105,2.74,403.28,0.18873921102394642
서구,평리1동,6678,61,0.39,156.41,0.07318717118196628
서구,평리2동,7194,29,0.29,100.0,0.046783434124056854
서구,평리3동,12576,104,0.77,135.06,0.06319391136657244
서구,평리4동,15962,114,0.73,156.16,0.07307015408810921
서구,평리5동,9951,54,0.42,128.57,0.06015614761004289
서구,평리6동,5658,109,0.73,149.32,0.06986856640017976
서구,상중이동,18112,320,6.71,47.69,0.022298777405403383
서구,원대동,10282,99,0.6,165.0,0.07720787852689523
남구,이천동,13916,153,1.09,140.37,0.06567935444009664
남구,봉덕1동,8172,150,0.49,306.12,0.1432616876673345
남구,봉덕2동,13271,145,3.06,47.39,0.0221583568927749
남구,봉덕3동,14867,228,2.69,84.76,0.03965007208252983
남구,대명1동,9851,161,0.45,357.78,0.16744209994195955
남구,대명2동,11934,164,0.83,197.59,0.09246222688210297
남구,대명3동,9665,151,0.94,160.64,0.07516710041002791
남구,대명4동,9705,57,0.71,80.28,0.03755312576061112
남구,대명5동,6385,500,0.92,543.48,0.2543623972589916
남구,대명6동,10930,77,1.5,51.33,0.024002546291962332
남구,대명9동,13816,163,3.38,48.22,0.022546853644380374
남구,대명10동,8274,56,0.5,112.0,0.05240025462919625
남구,대명11동,7542,60,0.87,68.97,0.03225927243451725
북구,고성동,12746,39,0.53,73.58,0.03441706764524163
북구,칠성동,21722,146,1.33,109.77,0.051356462151991175
북구,침산1동,3748,167,1.24,134.68,0.0630160453839097
북구,침산2동,17332,79,0.99,79.8,0.03732845294040554
북구,침산3동,18344,98,1.07,91.59,0.042846979086705
북구,노원동,11566,367,0.91,403.3,0.188748572391455
북구,산격1동,7933,64,2.29,27.95,0.013059107674449087
북구,산격2동,9852,78,0.8,97.5,0.04561326318548615
북구,산격3동,9880,1581,0.74,2136.49,1.0000000000000002
북구,산격4동,7528,153,0.39,392.31,0.18360450094549816
북구,복현1동,16492,556,1.86,298.92,0.13989159536425086
북구,복현2동,6200,468,1.22,383.61,0.17953230607927212
북구,대현동,7498,598,3.81,156.96,0.07344460878845184
북구,검단동,29387,225,23.25,9.68,0.004507498455374362
북구,무태조야동,33878,260,14.63,17.77,0.00829417161258917
북구,관문동,33249,152,2.7,56.3,0.0263288461178409
북구,태전1동,22089,500,1.71,292.4,0.13683978955645842
북구,태전2동,22999,442,4.41,100.23,0.04689108985040536
북구,구암동,31893,110,3.0,36.67,0.017140663908183713
북구,관음동,14655,90,5.71,15.76,0.007353354177978321
북구,읍내동,24370,105,1.12,93.75,0.04385800677763009
북구,동천동,25761,91,3.05,29.84,0.013943756904008541
북구,국우동,30386,129,17.19,7.5,0.003487109396940706
수성구,범어1동,21069,64,1.08,59.26,0.027714328509108616
수성구,범어2동,14374,110,1.13,97.35,0.04554305292917191
수성구,범어3동,17540,91,0.58,156.9,0.07341652468592615
수성구,범어4동,18993,37,1.08,34.26,0.016012619123401548
수성구,만촌1동,20783,69,2.88,23.96,0.01119151485649024
수성구,만촌2동,11076,80,1.62,49.38,0.023089812959877186
수성구,만촌3동,21321,139,1.78,78.09,0.03652805601842318
수성구,수성1가동,16992,38,0.58,65.52,0.030644436539289666
수성구,수성2·3가동,10471,50,0.65,76.92,0.035980416019172096
수성구,수성4가동,13401,44,0.63,69.84,0.03266649192113985
수성구,황금1동,21938,34,2.69,12.64,0.005892980846642079
